Country,Code,Population2020,YearlyChange,NetChange,Density_P/Km2,LandArea_Km2,NetMigrants,FertRate,MedianAge,UrbanPopPercent,WorldShare
Afghanistan,AFG,38742911,2.33 %,886592,60,652860,-62920.0,4.6,18,25 %,0.50 %
Albania,ALB,2878420,-0.11 %,-3120,105,27400,-14000.0,1.6,36,63 %,0.04 %
Algeria,DZA,43685618,1.85 %,797990,18,2381740,-10000.0,3.1,29,73 %,0.56 %
American Samoa,ASM,55215,-0.22 %,-121,276,200,,N.A.,N.A.,88 %,0.00 %
Andorra,AND,77240,0.16 %,123,164,470,,N.A.,N.A.,88 %,0.00 %
Angola,AGO,32644783,3.27 %,1040977,26,1246700,6413.0,5.6,17,67 %,0.42 %
Anguilla,AIA,14976,0.90 %,134,167,90,,N.A.,N.A.,N.A.,0.00 %
Antigua and Barbuda,ATG,97764,0.84 %,811,223,440,0.0,2.0,34,26 %,0.00 %
Argentina,ARG,45111229,0.93 %,415097,17,2736690,4800.0,2.3,32,93 %,0.58 %
Armenia,ARM,2962137,0.19 %,5512,104,28470,-4998.0,1.8,35,63 %,0.04 %
Aruba,ABW,106675,0.43 %,452,593,180,201.0,1.9,41,44 %,0.00 %
Australia,AUS,25439164,1.18 %,296686,3,7682300,158246.0,1.8,38,86 %,0.33 %
Austria,AUT,8996022,0.57 %,51296,109,82409,65000.0,1.5,43,57 %,0.12 %
Azerbaijan,AZE,10120555,0.91 %,91459,123,82658,1200.0,2.1,32,56 %,0.13 %
Bahrain,BHR,1688629,3.68 %,60403,2239,760,47800.0,2.0,32,89 %,0.02 %
Bangladesh,BGD,164354176,1.01 %,1643222,1265,130170,-369501.0,2.1,28,39 %,2.11 %
Barbados,BRB,287305,0.12 %,350,668,430,-79.0,1.6,40,31 %,0.00 %
Belarus,BLR,9449940,-0.03 %,-3088,47,202910,8730.0,1.7,40,79 %,0.12 %
Belgium,BEL,11579477,0.44 %,50295,383,30280,48000.0,1.7,42,98 %,0.15 %
Belize,BLZ,396120,1.86 %,7275,17,22810,1200.0,2.3,25,46 %,0.01 %
Benin,BEN,12055347,2.73 %,322049,108,112760,-2000.0,4.9,19,48 %,0.16 %
Bermuda,BMU,62323,-0.36 %,-228,1246,50,,N.A.,N.A.,97 %,0.00 %
Bhutan,BTN,769867,1.12 %,8516,20,38117,320.0,2.0,28,46 %,0.01 %
Bosnia and Herzegovina,BIH,3284806,-0.61 %,-20181,64,51000,-21585.0,1.3,43,52 %,0.04 %
Botswana,BWA,2341649,2.08 %,47930,4,566730,3000.0,2.9,24,73 %,0.03 %
Brazil,BRA,212253150,0.72 %,1509890,25,8358140,21200.0,1.7,33,88 %,2.73 %
Bulgaria,BGR,6958627,-0.74 %,-51674,64,108560,-4800.0,1.6,45,76 %,0.09 %
Burkina Faso,BFA,20780371,2.86 %,581895,76,273600,-25000.0,5.2,18,31 %,0.27 %
Burundi,BDI,11814346,3.12 %,360204,463,25680,2001.0,5.5,17,14 %,0.15 %
Cabo Verde,CPV,554750,1.10 %,6052,138,4030,-1342.0,2.3,28,68 %,0.01 %
